이름	출근시간	퇴근시간	출근확인	퇴근확인	근무일수	근무시간	누적근무시간	근무날짜
이	AM:9	PM:5	X	X	0	0	0	2024-03-04
윤	AM:9	PM:5	X	X	0	0	0	2024-03-04
전	AM:9	PM:5	X	X	0	0	0	2024-03-04
박	AM:9	PM:5	O	O	0	12	0	2024-03-04
이	1700	1700	O	O	1	0	0	2024-03-05
윤	AM:9	PM:5	X	X	0	0	0	2024-03-05
전	12-00	PM:5	O	X	0	0	0	2024-03-05
박	1700	1659	O	O	5	12	0	2024-03-05
박	AM:9	PM:5	O	O	6	12	0	2024-03-06
박	1703	1643	O	O	7	91	99	2024-03-07
전	1531	1533	O	O	1	2	2	2024-03-07
이	1741	1742	O	O	2	1	0	2024-03-07
박	1606	1232	O	O	8	0	127	2024-03-09
전	1230	1230	O	O	2	0	2	2024-03-09
이	1229	1352	O	O	3	123	1	2024-03-09
관	1622	1409	O	O	2	0	0	2024-03-09
안ㄴ여	1556	-	O	X	0	0	0	2024-03-09
ㅇㅇㅇ	1558	-	O	X	0	0	0	2024-03-09
asd	1627	1627	O	O	1	0	0	2024-03-09
박	-	-	X	X	0	0	0	2024-03-10
관	-	-	X	X	0	0	0	2024-03-10
관	0152	-	O	X	0	0	0	2024-03-11
이	04:38	04:38	O	O	4	00:00:00	00:00:00	2024-03-11
